,NIVEL,CIFRAS AL DIA:,MLP_errorcuadratico,MLP_coeficientedeconfianza,MLP_errorabsolutomedio
0,1,ACTIVO,0.0,0.0,0.0
0,2,DISPONIBILIDADES,0.0,0.0,0.0
0,3,CAJA,2521178367.2257824,0.995627148408122,16035.818662506994
0,3,BANCOS,0.0,0.0,0.0
0,4,     DEPÓSITOS EN OTRAS ENTIDADES FINANCIERAS,60834464160.32969,0.9894820794607689,76913.65489763347
0,4,     DIVISAS A ENTREGAR,1.2029890639053146e-07,0.0,0.00034684132739702667
0,3,OTRAS DISPONIBILIDADES,0.0,0.0,0.0
0,4,     DOCUMENTOS DE COBRO INMEDIATO,4.8857914707764166e-08,0.0,0.00022103826525686487
0,4,     OTRAS DISPONIBILIDADES,4.824235420651313e-05,-6.412508779386945e+31,0.0069456716166626485
0,3,DISPONIBILIDADES RESTRINGIDAS O DADAS EN GARANTÍA,0.0,0.0,0.0
